,id_mission,id_report,id_labdoc,id_trace,n_users,n_mots,indice_collab,indice_contrib
71322,1348,31747,291636,4777479,1,101,0.0,0.0
71328,1348,31747,291664,4779697,1,77,0.0,0.0
71336,1348,31747,291615,4779881,1,90,0.0,0.0
71338,1348,31743,291626,4777856,1,193,0.0,0.0
71341,1348,31743,291656,4779952,1,217,0.0,0.0
71352,1348,31743,291597,4779870,1,203,0.0,0.0
71357,1348,31740,291654,4778664,1,163,0.0,0.0
71371,1348,31740,291608,4777798,1,169,0.0,0.0
71375,1348,31740,291718,4779616,1,69,0.0,0.0
71381,1348,31740,291659,4778922,1,200,0.0,0.0
71386,1348,31741,291619,4777654,1,191,0.0,0.0
71390,1348,31741,291610,4777586,1,66,0.0,0.0
71396,1348,31741,291601,4777645,1,136,0.0,0.0
71399,1348,31741,291665,4779683,1,193,0.0,0.0
71400,1348,31741,291730,4779663,1,5,0.0,0.0
71401,1348,31799,292354,4795177,1,15,0.0,0.0
71404,1348,31799,292296,4794535,1,140,0.0,0.0
71406,1348,31799,292340,4795188,1,91,0.0,0.0
71407,1348,31799,292304,4794678,1,72,0.0,0.0
71408,1348,31799,292367,4795601,1,78,0.0,0.0
71413,1348,31795,292295,4795423,1,246,0.0,0.0
71417,1348,31795,292321,4795350,1,205,0.0,0.0
71421,1348,31795,292306,4795752,1,75,0.0,0.0
71422,1348,31748,291725,4779510,1,48,0.0,0.0
71424,1348,31748,291645,4778492,1,131,0.0,0.0
71425,1348,31748,291737,4779859,1,36,0.0,0.0
71427,1348,31748,291660,4778599,1,15,0.0,0.0
71429,1348,31748,291722,4779537,1,11,0.0,0.0
71433,1348,31748,291621,4777788,1,247,0.0,0.0
71434,1348,31748,291639,4777409,1,30,0.0,0.0
71435,1348,31748,291692,4779139,1,55,0.0,0.0
71438,1348,31739,291734,4779897,1,75,0.0,0.0
71443,1348,31739,291625,4778740,1,97,0.0,0.0
71448,1348,31739,291643,4778833,1,85,0.0,0.0
71450,1348,31794,292308,4793813,1,153,0.0,0.0
71460,1348,31794,292270,4795791,1,282,0.0,0.0
71466,1348,31794,292355,4795626,1,61,0.0,0.0
71468,1348,31794,292330,4794931,1,262,0.0,0.0
71471,1348,31794,292299,4795635,1,77,0.0,0.0
71472,1348,31742,291726,4779784,1,75,0.0,0.0
71482,1348,31742,291595,4779823,1,246,0.0,0.0
71486,1348,31742,291630,4777161,1,341,0.0,0.0
71488,1348,31742,291658,4779304,1,302,0.0,0.0
71491,1348,31745,291603,4777888,1,48,0.0,0.0
71493,1348,31745,291617,4778654,1,105,0.0,0.0
71497,1348,31745,291740,4780066,1,107,0.0,0.0
71500,1348,31745,291629,4777967,1,157,0.0,0.0
71501,1348,31745,291720,4779263,1,112,0.0,0.0
71503,1348,31798,292332,4795783,1,135,0.0,0.0
71505,1348,31746,291624,4776666,1,92,0.0,0.0
71507,1348,31746,291634,4777481,1,99,0.0,0.0
71511,1348,31746,291666,4779553,1,98,0.0,0.0
71516,1348,31793,292331,4795510,1,30,0.0,0.0
71518,1348,31796,292353,4795363,1,26,0.0,0.0
71521,1348,31796,292265,4794776,1,57,0.0,0.0
71524,1348,31796,292315,4794092,1,90,0.0,0.0
71528,1358,32078,295296,4900291,1,5,0.0,0.0
71530,1358,32078,295319,4900268,1,7,0.0,0.0
71532,1358,32049,295021,4890680,1,10,0.0,0.0
71533,1358,32049,295022,4890662,1,9,0.0,0.0
71534,1358,32066,295159,4901838,1,1,0.0,0.0
71535,1358,32064,295117,4901995,1,1,0.0,0.0
71537,1358,32063,295112,4901979,1,4,0.0,0.0
71538,1358,32063,295367,4901947,1,1,0.0,0.0
71542,1358,32065,295146,4902044,1,163,0.0,0.0
71556,1703,47869,471544,8307257,2,1038,0.0297062502112699,0.6080854318182661
71558,1703,47869,475922,8347660,1,444,0.0,0.0
71563,1703,47869,474203,8307242,1,54,0.0,0.0
71581,1703,47869,471546,8348662,2,1226,0.0259927559548856,0.709825855063597
71585,1703,47869,471553,8349392,1,172,0.0,0.0
71590,1703,47869,475946,8349350,2,168,0.3476946334089191,0.7256235827664399
71612,1703,47869,471552,8349260,2,541,0.1231841291547789,0.6518142949315038
71618,1703,47869,474283,8342264,2,47,0.0168591691995949,0.0169488456315074
71625,1703,47869,471550,8347818,1,268,0.0,0.0
71635,1703,47869,471548,8347700,2,444,0.0,0.5459682655628602
71637,1703,47887,472489,8307533,2,156,0.3624586779909241,0.4343589504306686
71640,1703,47887,472490,8319538,2,146,0.0,0.0
71650,1703,47887,472481,8318347,2,417,0.0858686181297572,0.2435440704955032
71660,1703,47887,472483,8318475,2,350,0.2300728073857215,0.4806368707221241
71664,1703,47887,472487,8319197,2,223,0.1379927883742891,0.4363012675720881
71670,1703,47887,472485,8319131,2,110,0.293020692244803,0.4454725252565208
71673,1703,47656,471659,8208183,1,131,0.0,0.0
71676,1703,47656,471604,8206607,1,127,0.0,0.0
71682,1703,47656,467512,8209622,2,199,0.0698241811427279,0.0731457641413048
71685,1703,47656,471658,8209656,1,81,0.0,0.0
71691,1703,47656,467503,8206796,1,80,0.0,0.0
71693,1703,47656,467511,8207245,1,121,0.0,0.0
71707,1703,47656,471607,8209667,2,300,0.0745297957913103,0.4413142015593407
71709,1703,47656,467509,8208394,2,77,0.0,0.0
71712,1703,47656,471664,8209404,1,104,0.0,0.0
71717,1703,47656,467505,8208308,2,215,0.0,0.0
71729,1703,47656,471668,8209611,2,350,0.0113513513513513,0.0113959183673469
71733,1703,47656,470764,8208790,2,252,0.011574074074074,0.0118693310657596
71739,1703,47656,471600,8208863,2,177,0.1888011505740595,0.2672576479246802
71744,1703,47656,467507,8208222,2,91,0.0,0.0
71751,1703,47656,471608,8208330,1,252,0.0,0.0
71756,1703,47780,470612,8179038,1,163,0.0,0.0
